City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
farsund,0,NO,1519941794,100,58.09,6.8,19.41,19.19
upernavik,88,GL,1519941854,87,72.79,-56.15,23.14,9.13
kahului,40,US,1519937760,61,20.89,-156.47,80.6,14.99
amderma,40,US,1519937760,61,20.89,-156.47,80.6,14.99
okha,64,RU,1519941855,80,53.59,142.95,3.97,13.04
attawapiskat,64,RU,1519941855,80,53.59,142.95,3.97,13.04
kapaa,75,US,1519939860,83,22.08,-159.32,77.0,9.17
curaca,32,BR,1519941857,50,-8.99,-39.91,85.56,5.32
dakoro,0,NE,1519941857,17,14.51,6.76,76.38,10.8
faanui,68,PF,1519941857,99,-16.48,-151.75,82.0,17.52
kyrksaeterora,0,NO,1519939200,57,63.29,9.09,23.0,18.34
katsuura,20,JP,1519939200,60,33.93,134.5,39.2,8.05
labuhan,92,ID,1519941782,96,-2.54,115.51,72.6,1.97
qaanaaq,80,GL,1519941860,93,77.48,-69.36,13.56,8.46
busselton,20,AU,1519941860,100,-33.64,115.35,61.35,14.5
taolanaro,20,AU,1519941860,100,-33.64,115.35,61.35,14.5
rikitea,80,PF,1519941861,98,-23.12,-134.97,81.33,19.08
mahroni,0,IN,1519941845,60,24.59,78.73,66.57,2.75
inta,24,RU,1519941862,66,66.04,60.13,8.25,5.21
vaini,0,IN,1519941863,85,15.34,74.49,61.26,1.41
iqaluit,75,CA,1519938000,84,63.75,-68.52,5.0,3.53
atuona,8,PF,1519941864,99,-9.8,-139.03,81.37,17.74
hobart,40,AU,1519939800,77,-42.88,147.33,59.0,8.05
santa marta,20,CO,1519938000,62,11.24,-74.21,86.0,18.34
ngukurr,20,CO,1519938000,62,11.24,-74.21,86.0,18.34
punta arenas,0,CL,1519938000,50,-53.16,-70.91,57.2,26.4
sandpoint,90,US,1519940100,76,48.28,-116.55,37.4,11.41
panguna,80,PG,1519941866,92,-6.32,155.48,77.73,4.32
severomuysk,24,RU,1519941866,59,56.17,113.57,-23.89,2.64
new norfolk,40,AU,1519939800,77,-42.78,147.06,59.0,8.05
lebu,24,ET,1519941868,60,8.96,38.73,50.05,2.64
ust-ishim,12,RU,1519941868,77,57.69,71.17,2.31,7.23
chibuto,0,MZ,1519941868,88,-24.69,33.53,71.61,8.79
carnarvon,0,ZA,1519941869,39,-30.97,22.13,61.08,7.0
hermanus,32,ZA,1519941869,80,-34.42,19.24,62.52,7.78
umm lajj,0,SA,1519941870,100,25.02,37.27,66.57,10.47
esil,48,KZ,1519941871,71,51.96,66.41,-6.11,7.23
provideniya,90,RU,1519939800,92,64.42,-173.23,30.2,11.18
vista hermosa,0,MX,1519941871,27,17.8,-97.76,84.12,1.86
tuktoyaktuk,5,CA,1519938000,74,69.44,-133.03,-22.01,9.17
mataura,88,NZ,1519941872,98,-46.19,168.86,63.1,4.43
saint-augustin,92,FR,1519939800,87,44.83,-0.61,51.8,16.11
kloulklubed,75,PW,1519937460,83,7.04,134.26,78.8,5.82
port macquarie,100,AU,1519938000,82,-31.43,152.91,66.2,4.7
port alfred,48,ZA,1519941874,89,-33.59,26.89,68.55,10.69
salinopolis,36,BR,1519941874,100,-0.61,-47.36,79.93,8.68
albany,90,US,1519941180,49,42.65,-73.75,51.8,8.05
te anau,76,NZ,1519941875,99,-45.41,167.72,59.32,3.09
sohag,0,EG,1519941876,67,26.55,31.7,56.53,2.75
wulanhaote,0,EG,1519941876,67,26.55,31.7,56.53,2.75
saldanha,88,PT,1519941876,97,41.42,-6.55,39.88,17.52
georgetown,20,GY,1519938000,62,6.8,-58.16,84.2,13.87
kurchum,56,KZ,1519941878,89,48.57,83.65,15.0,14.05
bluff,88,AU,1519941878,95,-23.58,149.07,74.8,4.21
bredasdorp,32,ZA,1519938000,64,-34.53,20.04,68.0,10.29
cape town,0,ZA,1519938000,64,-33.93,18.42,68.0,20.8
los llanos de aridane,75,ES,1519939800,56,28.66,-17.92,69.8,5.82
geraldton,40,CA,1519938000,45,49.72,-86.95,26.6,4.7
chapais,90,CA,1519938000,63,49.78,-74.86,28.4,8.05
rio grande,20,BR,1519940700,74,-32.03,-52.1,78.8,5.82
tasiilaq,0,GL,1519941000,78,65.61,-37.64,15.8,4.7
ushuaia,75,AR,1519938000,66,-54.81,-68.31,51.8,4.7
vardo,90,US,1519940640,76,39.62,-77.74,55.4,5.82
craig,1,US,1519940100,47,40.52,-107.55,44.6,8.34
hilo,90,US,1519937760,88,19.71,-155.08,71.6,21.32
port lincoln,88,AU,1519941883,98,-34.72,135.86,66.34,7.45
fontenay-le-comte,0,FR,1519939800,71,46.47,-0.81,51.8,18.34
clyde river,90,CA,1519938000,85,70.47,-68.59,15.8,3.36
mehamn,75,NO,1519941000,68,71.03,27.85,28.4,9.17
estreito,20,BR,1519938000,83,-22.44,-42.8,82.4,12.75
mitsamiouli,8,KM,1519941783,100,-11.38,43.28,81.33,5.77
kaitangata,88,NZ,1519941886,97,-46.28,169.85,60.4,4.65
ruteng,12,ID,1519941886,90,-8.61,120.46,67.78,3.2
norman wells,40,CA,1519938000,63,65.28,-126.83,-11.21,2.24
viedma,0,AR,1519941887,30,-40.81,-62.99,78.13,7.0
fort nelson,90,CA,1519938000,77,58.81,-122.69,5.0,12.75
whitianga,92,NZ,1519941888,100,-36.83,175.7,71.07,20.09
belushya guba,92,NZ,1519941888,100,-36.83,175.7,71.07,20.09
castro,0,CL,1519941889,71,-42.48,-73.76,65.44,2.64
illoqqortoormiut,0,CL,1519941889,71,-42.48,-73.76,65.44,2.64
khuzdar,8,PK,1519941890,77,27.8,66.62,48.88,2.98
ramanathapuram,0,IN,1519941890,95,9.37,78.83,71.61,6.33
mys shmidta,0,IN,1519941890,95,9.37,78.83,71.61,6.33
maltahohe,12,NA,1519941891,85,-24.83,16.98,62.02,2.64
kruisfontein,100,ZA,1519941891,97,-34.0,24.73,66.52,8.68
erice,0,IT,1519939200,35,38.04,12.59,71.6,27.51
uruzgan,92,AF,1519941893,98,32.93,66.63,35.16,3.53
victoria,75,BN,1519939800,100,5.28,115.24,77.0,0.74
kodiak,1,US,1519937580,27,39.95,-94.76,51.8,13.87
douglas,75,US,1519937760,39,58.28,-134.39,32.0,8.05
xuchang,80,CN,1519938000,86,34.03,113.82,37.4,4.47
kirensk,0,RU,1519941896,49,57.78,108.12,-17.86,2.86
port elizabeth,90,US,1519941300,76,39.31,-74.98,53.6,6.93
airai,64,TL,1519941897,89,-8.93,125.41,67.83,0.29
springbok,0,ZA,1519941898,56,-29.67,17.88,58.87,4.88
adrar,0,DZ,1519938000,18,27.87,-0.29,71.6,11.41
poole,92,GB,1519937400,92,50.72,-1.98,28.4,21.92
sentyabrskiy,92,GB,1519937400,92,50.72,-1.98,28.4,21.92
ko samui,56,TH,1519941900,100,9.54,99.94,81.64,8.34
yellowknife,75,CA,1519938000,59,62.45,-114.38,1.4,10.29
calabozo,0,VE,1519941901,27,8.92,-67.43,95.55,9.46
linxia,0,CN,1519941902,54,35.6,103.21,12.52,2.19
qandahar,0,CN,1519941902,54,35.6,103.21,12.52,2.19
mar del plata,0,AR,1519941848,29,-46.43,-67.52,77.91,8.9
narsaq,5,GL,1519941000,74,60.91,-46.05,28.4,2.24
taft,64,PH,1519941904,100,11.9,125.42,77.05,5.44
khatanga,36,RU,1519941904,75,71.98,102.47,-11.65,7.78
bubaque,0,GW,1519938000,69,11.28,-15.83,78.8,9.17
stephenville,1,US,1519941300,63,32.22,-98.2,62.6,9.17
agua verde,5,MX,1519936860,28,22.89,-105.97,84.2,9.17
jamestown,88,AU,1519941907,73,-33.21,138.6,60.49,6.22
iquique,0,CL,1519938000,64,-20.22,-70.14,73.4,20.8
paris,0,FR,1519939800,59,48.86,2.35,33.8,13.87
rosetta,40,EG,1519938000,77,31.4,30.42,60.8,9.17
hit,0,IQ,1519941909,76,33.64,42.83,50.37,4.88
oranjemund,32,ZA,1519941910,95,-28.55,16.43,63.19,19.75
kutum,0,SD,1519941910,25,14.2,24.66,69.22,10.69
andijon,75,UZ,1519938000,87,40.76,72.37,48.2,9.17
quixada,75,UZ,1519938000,87,40.76,72.37,48.2,9.17
dikson,32,RU,1519941912,80,73.51,80.55,-4.85,7.23
sitka,0,US,1519941754,66,37.17,-99.65,53.16,5.21
longyearbyen,20,NO,1519941000,61,78.22,15.63,12.2,13.87
gedo,0,ET,1519941913,50,9.01,37.45,49.6,4.88
fairbanks,20,US,1519937880,83,64.84,-147.72,-4.01,9.17
grand river south east,20,US,1519937880,83,64.84,-147.72,-4.01,9.17
maumere,0,ID,1519941914,100,-8.63,122.22,80.74,4.76
chokurdakh,76,RU,1519941915,78,70.62,147.9,-4.27,11.7
poum,92,MK,1519941915,99,41.28,20.71,31.24,1.97
petropavlovsk-kamchatskiy,0,RU,1519939800,60,53.05,158.65,8.6,13.42
yulara,0,AU,1519938000,33,-25.24,130.99,73.4,9.17
america dourada,80,BR,1519941917,32,-11.46,-41.44,85.78,6.44
aflu,80,BR,1519941917,32,-11.46,-41.44,85.78,6.44
kandrian,12,PG,1519941918,99,-6.21,149.55,75.21,3.31
nome,1,US,1519941300,47,30.04,-94.42,77.0,9.17
vaitupu,1,US,1519941300,47,30.04,-94.42,77.0,9.17
goundam,36,ML,1519941919,32,16.42,-3.66,86.05,7.9
cockburn town,0,TC,1519941737,100,21.46,-71.14,75.52,8.46
bogorodskoye,68,RU,1519941920,73,52.37,140.44,5.68,6.33
avera,90,US,1519940100,88,33.19,-82.53,82.4,8.05
chengmai,90,US,1519940100,88,33.19,-82.53,82.4,8.05
newport,75,GB,1519941000,92,51.59,-3.0,26.6,29.97
luderitz,0,NA,1519938000,56,-26.65,15.16,69.8,24.16
tumannyy,0,NA,1519938000,56,-26.65,15.16,69.8,24.16
stryn,0,NO,1519941000,77,61.9,6.72,6.8,1.12
abu dhabi,0,AE,1519938000,83,24.47,54.37,73.4,4.7
sept-iles,75,CA,1519938000,74,50.2,-66.38,30.2,10.29
saint-philippe,90,CA,1519938900,74,45.36,-73.48,35.6,10.29
sfantu gheorghe,64,RO,1519939800,92,44.65,26.83,19.4,4.7
karaul,64,RO,1519939800,92,44.65,26.83,19.4,4.7
nikolskoye,0,RU,1519939800,84,59.7,30.79,3.2,4.47
buchanan,75,LR,1519939800,88,5.88,-10.05,78.8,4.09
ishigaki,75,JP,1519938000,72,24.34,124.16,68.0,13.87
road town,40,VG,1519938000,65,18.42,-64.62,78.8,4.7
las vegas,40,US,1519941360,20,36.17,-115.15,64.4,11.41
paamiut,80,GL,1519941929,90,61.99,-49.67,31.6,2.98
khed brahma,0,IN,1519941814,61,24.03,73.05,65.89,4.09
porto novo,32,BR,1519941930,80,-23.68,-45.44,77.82,4.21
bambous virieux,40,MU,1519938000,83,-20.34,57.76,80.6,11.41
arraial do cabo,40,BR,1519938000,83,-22.97,-42.02,82.4,3.36
buckeye,1,US,1519940100,74,33.37,-112.58,64.4,9.17
diedorf,0,DE,1519941000,67,48.35,10.78,23.0,8.05
ryotsu,75,JP,1519938600,51,38.08,138.43,37.4,40.26
nguiu,75,JP,1519938600,51,38.08,138.43,37.4,40.26
camacupa,56,AO,1519941934,73,-12.02,17.48,66.48,10.58
curup,88,ID,1519941935,97,-3.47,102.53,69.94,1.19
sayat,12,TM,1519941935,91,38.78,63.88,44.16,8.12
bethel,40,US,1519937580,72,60.79,-161.76,15.8,5.82
catuday,0,PH,1519941939,100,16.29,119.81,75.97,4.99
san patricio,92,PY,1519941939,85,-26.98,-56.83,77.05,2.75
lillooet,90,CA,1519939200,86,50.69,-121.94,41.0,4.7
komsomolskiy,64,RU,1519941940,67,67.55,63.78,1.99,10.13
nefteyugansk,40,RU,1519939800,84,61.09,72.61,-0.41,6.71
umzimvubu,40,RU,1519939800,84,61.09,72.61,-0.41,6.71
tessalit,36,ML,1519941942,31,20.2,1.01,79.84,5.77
chuy,0,UY,1519941942,81,-33.69,-53.46,76.2,8.23
torbay,75,CA,1519939500,100,47.66,-52.73,33.8,8.05
cidreira,44,BR,1519941944,78,-30.17,-50.22,76.87,11.36
tchibanga,36,GA,1519941944,94,-2.92,11.0,73.0,2.3
pevek,88,RU,1519941945,86,69.7,170.27,26.29,23.11
sao filipe,0,CV,1519941670,97,14.9,-24.5,69.85,10.8
east london,92,ZA,1519941945,100,-33.02,27.91,72.15,13.04
kaeo,88,NZ,1519941758,97,-35.1,173.78,69.22,10.58
kuito,64,AO,1519941946,79,-12.38,16.94,62.92,9.01
senanga,92,ZM,1519941946,97,-16.1,23.3,69.85,6.11
bakchar,0,RU,1519941947,75,57.02,82.07,-11.6,4.99
zonguldak,20,TR,1519941663,100,41.25,31.83,23.01,3.87
fort saint john,20,TR,1519941663,100,41.25,31.83,23.01,3.87
vila,90,IT,1519939200,92,45.18,8.4,30.2,3.36
rocha,12,UY,1519941949,59,-34.48,-54.34,78.9,7.0
lorengau,48,PG,1519941949,100,-2.02,147.27,81.19,2.3
meulaboh,24,ID,1519941950,100,4.14,96.13,78.45,3.42
chara,40,GR,1519937400,81,39.42,22.43,44.6,2.98
maniwaki,0,CA,1519941909,53,46.38,-75.98,38.13,4.99
genhe,32,CN,1519941951,65,50.78,121.52,-11.02,2.86
thunder bay,75,CA,1519938000,68,48.41,-89.26,30.2,8.05
coquimbo,20,CL,1519938000,68,-29.95,-71.34,68.0,11.41
najran,0,SA,1519938000,68,17.54,44.22,64.4,9.17
brigham city,90,US,1519941480,80,41.51,-112.02,41.0,23.04
thompson,75,CA,1519938000,79,55.74,-97.86,24.8,8.05
rapid valley,0,US,1519940100,58,44.06,-103.15,37.4,6.93
tiksi,64,RU,1519941954,58,71.64,128.87,-20.29,3.76
lompoc,90,US,1519940100,62,34.64,-120.46,60.8,6.93
aksu,0,KZ,1519939800,83,52.04,76.93,-9.41,11.18
xingcheng,48,CN,1519941956,85,40.62,120.71,21.66,8.79
pitsunda,40,GE,1519939800,69,43.16,40.34,35.6,6.71
oakdale,90,US,1519940460,87,37.77,-120.85,53.6,11.41
pekan,75,MY,1519938000,94,3.49,103.39,77.0,2.24
nizhneyansk,75,MY,1519938000,94,3.49,103.39,77.0,2.24
kavaratti,0,IN,1519941960,100,10.57,72.64,84.3,7.0
andros town,20,BS,1519938000,65,24.73,-77.79,82.4,5.82
samarai,48,PG,1519941961,100,-10.62,150.67,82.05,2.75
znamenskoye,80,RU,1519941693,74,57.13,73.82,0.37,10.58
biak,56,ID,1519941962,100,-0.91,122.88,76.15,2.64
tatarusi,0,RO,1519939800,84,47.35,26.6,1.4,3.36
chiasso,90,IT,1519939200,93,45.84,9.03,32.0,2.24
nipawin,1,CA,1519938000,67,53.36,-104.02,19.4,4.7
mosquera,40,CO,1519938000,40,4.71,-74.23,68.0,10.29
miyako,40,JP,1519939800,69,33.63,130.94,41.0,2.75
prado,0,BR,1519941966,94,-17.34,-39.22,81.42,17.74
severo-kurilsk,36,RU,1519941966,100,50.68,156.12,21.48,14.72
werda,0,DE,1519938000,66,50.44,12.3,14.0,11.41
san quintin,75,PH,1519941600,100,17.54,120.52,77.0,2.24
kununurra,40,AU,1519939800,83,-15.77,128.74,77.0,8.05
puerto leguizamo,48,CO,1519941968,73,-0.19,-74.78,86.28,2.75
constitucion,40,MX,1519937040,19,23.99,-104.67,78.8,2.24
padang,68,ID,1519941712,100,-0.92,100.36,81.73,2.75
innisfail,75,CA,1519938000,49,52.02,-113.95,24.8,16.11
mount gambier,88,AU,1519941811,92,-37.83,140.78,55.27,3.65
ye,88,AU,1519941811,92,-37.83,140.78,55.27,3.65
vagay,12,RU,1519941970,67,57.94,69.02,2.67,6.89
saint anthony,90,US,1519937760,86,43.97,-111.68,35.6,11.41
codrington,92,AU,1519941971,100,-28.95,153.24,69.36,3.42
sola,40,FI,1519941000,84,62.78,29.36,-0.41,2.75
gwadar,20,PK,1519941972,94,25.12,62.33,68.1,4.65
lushunkou,20,PK,1519941972,94,25.12,62.33,68.1,4.65
alice springs,0,AU,1519939800,28,-23.7,133.88,71.6,6.93
kampot,64,KH,1519941974,98,10.62,104.18,73.09,2.98
barentsburg,64,KH,1519941974,98,10.62,104.18,73.09,2.98
dukat,92,RS,1519941975,86,42.44,22.31,22.11,1.97
cayenne,20,GF,1519939800,78,4.94,-52.33,80.6,4.7
avarua,40,CK,1519938000,74,-21.21,-159.78,84.2,6.93
laibin,88,CN,1519941976,93,23.74,109.23,65.76,8.34
prince rupert,90,CA,1519938000,60,54.32,-130.32,41.0,10.29
ancud,32,CL,1519941746,77,-41.87,-73.83,64.5,2.98
touros,92,BR,1519941978,100,-5.2,-35.46,73.32,11.7
maine-soroa,0,NE,1519941978,23,13.21,12.02,75.48,9.69
salalah,20,OM,1519937400,73,17.01,54.1,75.2,2.24
mahebourg,40,MU,1519938000,83,-20.41,57.7,80.6,11.41
nhulunbuy,88,AU,1519939800,94,-12.18,136.78,80.6,4.7
sainte-anne-des-monts,92,CA,1519941981,93,49.13,-66.49,29.22,14.5
srednekolymsk,76,RU,1519941982,57,67.46,153.71,-11.83,7.34
minna,0,NG,1519941982,43,9.62,6.55,82.63,9.69
ribeira grande,75,PT,1519938000,62,38.52,-28.7,51.8,4.7
nuuk,90,GL,1519941000,74,64.17,-51.74,35.6,4.7
nishihara,1,JP,1519941360,59,35.74,139.53,48.2,5.82
iaciara,0,BR,1519941984,58,-14.1,-46.63,88.26,3.2
eureka,90,US,1519940280,81,40.8,-124.16,46.4,16.11
usinsk,76,RU,1519941986,83,66.0,57.56,11.35,8.12
olafsvik,76,RU,1519941986,83,66.0,57.56,11.35,8.12
amur,48,RU,1519941787,76,54.1,61.58,2.53,8.34
isangel,12,VU,1519941987,100,-19.55,169.27,81.82,4.21
atasu,0,KZ,1519941988,76,48.68,71.64,-4.36,8.46
monrovia,75,LR,1519939800,88,6.33,-10.8,78.8,6.55
bairiki,75,LR,1519939800,88,6.33,-10.8,78.8,6.55
hualmay,20,PE,1519941989,61,-11.1,-77.61,75.25,4.21
saint george,40,GR,1519937400,81,39.45,22.34,44.6,2.98
barrow,64,AR,1519941991,31,-38.31,-60.23,89.83,4.76
bac lieu,64,AR,1519941991,31,-38.31,-60.23,89.83,4.76
hithadhoo,92,MV,1519941992,100,-0.6,73.08,82.72,7.67
breves,20,BR,1519941993,76,-1.68,-50.48,84.43,7.34
binga,92,ZW,1519941994,100,-17.62,27.34,69.81,2.42
puerto ayora,20,EC,1519938000,66,-0.74,-90.35,84.2,12.75
kotdwara,0,IN,1519941826,78,29.75,78.53,50.05,3.09
vanimo,20,PG,1519941995,100,-2.67,141.3,80.2,2.64
rovenki,92,RU,1519941996,94,49.91,38.89,21.66,12.71
bengkulu,92,RU,1519941996,94,49.91,38.89,21.66,12.71
zharkent,88,KZ,1519941996,85,44.17,80.0,26.83,2.98
samusu,88,KZ,1519941996,85,44.17,80.0,26.83,2.98
rio rancho,1,US,1519941300,23,35.27,-106.63,57.2,12.75
oeiras do para,76,BR,1519941998,78,-2.0,-49.85,83.13,8.57
butaritari,56,KI,1519941999,100,3.07,172.79,82.54,11.81
yerbogachen,32,RU,1519941737,52,61.28,108.01,-18.53,2.64
sterling,90,US,1519941360,76,39.0,-77.4,55.4,6.93
galbshtadt,48,RU,1519942000,78,53.23,78.98,-0.71,10.36
mabay,20,CU,1519937460,40,20.35,-76.78,87.8,3.36
imeni tsyurupy,20,RU,1519939800,60,55.5,38.64,8.6,11.18
almaznyy,92,RU,1519942002,94,48.03,40.04,24.49,11.48
norden,0,DE,1519941300,62,53.59,7.21,21.2,19.46
jumla,44,NP,1519942003,95,29.28,82.18,25.53,2.08
ijaki,44,NP,1519942003,95,29.28,82.18,25.53,2.08
hurghada,44,NP,1519942003,95,29.28,82.18,25.53,2.08
beringovskiy,44,RU,1519942005,85,63.05,179.32,30.97,18.52
mazara del vallo,75,IT,1519937700,77,37.65,12.59,62.6,27.51
ilulissat,75,GL,1519941000,69,69.22,-51.1,35.6,9.17
ixtapa,5,MX,1519936800,73,20.71,-105.21,75.2,14.99
taonan,68,CN,1519942007,58,45.34,122.78,-1.66,9.24
xuddur,0,SO,1519942007,46,4.12,43.89,77.59,9.01
broome,88,GB,1519941360,68,52.47,1.45,30.2,25.28
macaboboni,88,GB,1519941360,68,52.47,1.45,30.2,25.28
souillac,88,FR,1519941600,76,45.6,-0.6,51.8,14.99
kangaatsiaq,0,GL,1519942010,100,68.31,-53.46,20.76,7.78
arawa,68,NG,1519942010,60,7.05,3.9,82.23,6.78
svetlaya,76,RU,1519942011,100,46.54,138.33,28.32,24.56
belaya gora,68,RU,1519942011,67,68.54,146.19,-14.98,8.68
merauke,8,ID,1519942012,100,-8.49,140.4,76.15,5.77
binucayan,88,PH,1519942013,94,8.25,125.72,74.53,2.3
